# framed_channel Select candidates (generated by refresh-candidates.sh; do not edit)
# charon: 0.1.270 (whole-crate charon cargo --preset=aeneas over rust/)
# extraction joined: aeneas/FramedChannelAeneas/Extracted/Funs.lean (by source span)
# crate forbids unsafe_code (rust/src/lib.rs): yes
# translated declarations matching the concurrency/IO/interior-mutability denylist: 0
# items: 80 local; 80 in-subset; 0 excluded; 24 derived impls
# scope: syntactic checks over the crate's own LLBC items; std internals are not audited (G3)
# columns: lean_name	rust_path	span	visibility	kind	derived	verdict	reason
framed_channel.ring_buffer.RingBuffer.Insts.CoreCloneClone.clone	framed_channel::ring_buffer::{impl core::clone::Clone}::clone	src/ring_buffer.rs:22:16-22:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.CoreFmtDebug.fmt	framed_channel::ring_buffer::{impl core::fmt::Debug}::fmt	src/ring_buffer.rs:22:9-22:14	pub	trait-impl	derived:Debug	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.capacity	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::capacity	src/ring_buffer.rs:125:4-127:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.contents	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::contents	src/ring_buffer.rs:149:4-151:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.is_empty	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::is_empty	src/ring_buffer.rs:133:4-135:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.is_full	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::is_full	src/ring_buffer.rs:137:4-139:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.len	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::len	src/ring_buffer.rs:129:4-131:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.pop	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::pop	src/ring_buffer.rs:145:4-147:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.push	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::push	src/ring_buffer.rs:141:4-143:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.Insts.Framed_channelQueueBoundedQueue.with_capacity	framed_channel::ring_buffer::{impl framed_channel::queue::BoundedQueue}::with_capacity	src/ring_buffer.rs:121:4-123:5	pub	trait-impl	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.capacity	framed_channel::ring_buffer::{impl}::capacity	src/ring_buffer.rs:40:4-42:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.contents	framed_channel::ring_buffer::{impl}::contents	src/ring_buffer.rs:110:4-117:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.get	framed_channel::ring_buffer::{impl}::get	src/ring_buffer.rs:63:4-68:5	priv	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.impl.len	framed_channel::ring_buffer::{impl}::len	src/ring_buffer.rs:46:4-48:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.is_empty	framed_channel::ring_buffer::{impl}::is_empty	src/ring_buffer.rs:52:4-54:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.is_full	framed_channel::ring_buffer::{impl}::is_full	src/ring_buffer.rs:58:4-60:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.pop	framed_channel::ring_buffer::{impl}::pop	src/ring_buffer.rs:96:4-105:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.push	framed_channel::ring_buffer::{impl}::push	src/ring_buffer.rs:83:4-92:5	pub	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.set	framed_channel::ring_buffer::{impl}::set	src/ring_buffer.rs:71:4-75:5	priv	fn	-	in-subset	-
framed_channel.ring_buffer.RingBuffer.with_capacity	framed_channel::ring_buffer::{impl}::with_capacity	src/ring_buffer.rs:33:4-36:5	pub	fn	-	in-subset	-
framed_channel.stuff.ESC	framed_channel::stuff::ESC	src/stuff.rs:22:0-22:25	pub	const	-	in-subset	-
framed_channel.stuff.MARKER	framed_channel::stuff::MARKER	src/stuff.rs:19:0-19:28	pub	const	-	in-subset	-
framed_channel.stuff.UnstuffError.Insts.CoreCloneClone.clone	framed_channel::stuff::{impl core::clone::Clone}::clone	src/stuff.rs:29:16-29:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.stuff.UnstuffError.Insts.CoreCmpPartialEqUnstuffError.eq	framed_channel::stuff::{impl core::cmp::PartialEq}::eq	src/stuff.rs:29:29-29:38	pub	trait-impl	derived:PartialEq	in-subset	-
framed_channel.stuff.UnstuffError.Insts.CoreFmtDebug.fmt	framed_channel::stuff::{impl core::fmt::Debug}::fmt	src/stuff.rs:29:9-29:14	pub	trait-impl	derived:Debug	in-subset	-
framed_channel.stuff.XOR_MASK	framed_channel::stuff::XOR_MASK	src/stuff.rs:26:0-26:30	pub	const	-	in-subset	-
framed_channel.stuff.encode_frame	framed_channel::stuff::encode_frame	src/stuff.rs:64:0-67:1	pub	fn	-	in-subset	-
framed_channel.stuff.stuff	framed_channel::stuff::stuff	src/stuff.rs:43:0-58:1	pub	fn	-	in-subset	-
framed_channel.stuff.unstuff	framed_channel::stuff::unstuff	src/stuff.rs:77:0-104:1	pub	fn	-	in-subset	-
framed_channel.varint.VarintError.Insts.CoreCloneClone.clone	framed_channel::varint::{impl core::clone::Clone}::clone	src/varint.rs:8:16-8:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.varint.VarintError.Insts.CoreCmpPartialEqVarintError.eq	framed_channel::varint::{impl core::cmp::PartialEq}::eq	src/varint.rs:8:29-8:38	pub	trait-impl	derived:PartialEq	in-subset	-
framed_channel.varint.VarintError.Insts.CoreFmtDebug.fmt	framed_channel::varint::{impl core::fmt::Debug}::fmt	src/varint.rs:8:9-8:14	pub	trait-impl	derived:Debug	in-subset	-
framed_channel.varint.decode_u32	framed_channel::varint::decode_u32	src/varint.rs:37:0-56:1	pub	fn	-	in-subset	-
framed_channel.varint.encode_u32	framed_channel::varint::encode_u32	src/varint.rs:17:0-27:1	pub	fn	-	in-subset	-
